experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,tafeng,top,10,19,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,20,0.025811971954263904,0.3216210662746772,0.04744408921816163,0.03787831762148789,0.057499150157552754,0.428999320340778,1,2,10
1vR,tafeng,top,10,20,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,18,0.02719551244362407,0.30481135505081636,0.04955077909610165,0.039814859888368526,0.05893316317910263,0.41067223038867023,1,2,10
1vR,tafeng,top,10,18,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,17,0.027988267414749156,0.29624053614048396,0.05073508968104765,0.04091895927357787,0.05969897599337672,0.4010779711381921,1,2,10
1vR,tafeng,top,10,17,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,10,13,0.031829634390210984,0.25757503911992036,0.056112791657388354,0.046181531512867885,0.06247675583017161,0.3565365830527763,1,2,10
1vR,tafeng,top,10,13,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,40,11,0.03651577021490978,0.25125783870497304,0.06308829795777439,0.052684353611048625,0.06766727769679035,0.348524622040737,1,2,10
1vR,tafeng,top,40,11,0.028533724340175953,0.08064516129032258,0.03725006176619079,0.037329393457363254,0.030472179207323515,0.10967741935483871,1,2,10
1vR,coop,top,50,3,0.06717206727531058,0.12555862007934987,0.0855665845636495,0.08799928556274332,0.06268899608230886,0.18883202312650255,1,2,10
1vR,tafeng,top,50,3,0.03412073490813648,0.051181102362204724,0.03989501312335958,0.04330420235932047,0.027282953267205236,0.07874015748031496,1,2,10
1vR,coop,top,40,8,0.04244537212580817,0.2122466093043605,0.06979967946863092,0.06037697272287944,0.06897581266383221,0.3013587088619902,1,2,10
1vR,tafeng,top,40,8,0.02870967741935484,0.07419354838709677,0.037306707629288276,0.03752473206742656,0.03006026231832683,0.1032258064516129,1,2,10
1vR,coop,top,40,5,0.053150065626367225,0.16594963783967723,0.07907861506373975,0.07333643945865033,0.06811150624042558,0.2424165086772641,1,2,10
1vR,tafeng,top,40,5,0.031290322580645166,0.07419354838709677,0.04061443932411674,0.04094367365714614,0.03212158808933002,0.1032258064516129,1,2,10
1vR,coop,top,50,18,0.028879413482885388,0.32585065117033674,0.052676567847202614,0.042294692958389855,0.06274579242972037,0.43373991534048173,1,2,10
1vR,tafeng,top,50,18,0.03060427105702696,0.10236220472440945,0.04040089164415729,0.04019627391794218,0.03372151188483067,0.13385826771653545,1,2,10
1vR,coop,top,40,4,0.05902423314374605,0.14705775120315007,0.0825668821804158,0.07983659654129505,0.06627655437266054,0.21804968159058868,1,2,10
1vR,tafeng,top,40,4,0.03225806451612903,0.07096774193548387,0.04129032258064516,0.042049335863377606,0.03193548387096774,0.0967741935483871,1,2,10
1vR,coop,top,30,4,0.05813833678505559,0.14452412599301412,0.08128410936979451,0.07862552561234482,0.06520019989078132,0.21475894614282917,1,2,10
1vR,tafeng,top,30,4,0.025100401606425706,0.04819277108433735,0.030722891566265058,0.03222249047904611,0.022748787357221092,0.06626506024096386,1,2,10
1vR,coop,top,40,19,0.028013746411636783,0.33388629624228283,0.05133590543045345,0.04107830099073575,0.061756581792406805,0.4420057362306159,1,2,10
1vR,tafeng,top,40,19,0.029150827949639493,0.0935483870967742,0.03843918257580497,0.03824655213343534,0.032066382105874244,0.12258064516129032,1,2,10
1vR,coop,top,30,2,0.07989964246339629,0.09889441851359566,0.08623123448012941,0.09841220776276878,0.055537695898117516,0.153019484199355,1,2,10
1vR,tafeng,top,30,2,0.030120481927710843,0.0391566265060241,0.03313253012048193,0.03734939759036145,0.021686746987951807,0.05421686746987952,1,2,10
1vR,coop,top,30,10,0.03766009293890967,0.23514471474349066,0.06418629745883925,0.0541265608657457,0.06722808671550595,0.32967553810804406,1,2,10
1vR,tafeng,top,30,10,0.02432109389940715,0.06325301204819277,0.030728976512109044,0.03146335310922909,0.02443285364529163,0.08433734939759036,1,2,10
1vR,coop,top,40,17,0.02960699957392903,0.3155048369063244,0.053726869594058695,0.04330003471471092,0.06331517679410341,0.4217830927033202,1,2,10
1vR,tafeng,top,40,17,0.029190776017151726,0.0935483870967742,0.03851086716361859,0.03830483886773891,0.03214652636554164,0.12258064516129032,1,2,10
1vR,coop,top,50,11,0.036813041680226526,0.25359507971858825,0.06360966866711619,0.05311503036700111,0.06824321019950799,0.3514107461541865,1,2,10
1vR,tafeng,top,50,11,0.030291099976139345,0.09055118110236221,0.03976509055249212,0.03972435728040925,0.032764103151831384,0.11811023622047244,1,2,10
1vR,coop,top,50,20,0.02746670078936565,0.3443017064645064,0.05054185714057987,0.040320856613874814,0.0613429110822217,0.4540640993495671,1,2,10
1vR,tafeng,top,50,20,0.030473037461226437,0.10236220472440945,0.04016407914045709,0.0400045170656309,0.033453079529784144,0.13385826771653545,1,2,10
1vR,coop,top,30,7,0.044545616459931305,0.19460500963391136,0.0714429229390127,0.0628975920373404,0.06799227788378044,0.27939373332096895,1,2,10
1vR,tafeng,top,30,7,0.02352266207687894,0.05120481927710843,0.029082998661311914,0.030246667073080227,0.022205053982162413,0.07228915662650602,1,2,10
1vR,coop,top,50,2,0.07962271942891698,0.0990177136030442,0.08608771748695938,0.09813326253791733,0.05553162932700108,0.15228388961814723,1,2,10
1vR,tafeng,top,50,2,0.03543307086614173,0.04330708661417323,0.03805774278215223,0.04356955380577428,0.024409448818897637,0.06299212598425197,1,2,10
1vR,coop,top,40,14,0.03243748133641672,0.2841560935297263,0.05771649467234271,0.047185476845961284,0.06538500632127581,0.3867215983666326,1,2,10
1vR,tafeng,top,40,14,0.029329702555509003,0.0935483870967742,0.03875543811027682,0.03850652984672375,0.03240766307829126,0.12258064516129032,1,2,10
