dataset,model_name,split_type,pred_length,mean_precision,std_precision,mean_recall,std_recall,mean_f1_score,std_f1_score,mean_f05_score,std_f05_score,mean_f2_score,std_f2_score,mean_hit_score,std_hit_score
tafeng,markov,split_90,3,0.09798813142278187,0.19839666542324344,0.07083016525795503,0.17888812225305215,0.07070159801197469,0.14950832441402867,0.09646003025264069,0.19420008392893756,0.041082275674811354,0.09439642073231103,0.23404255319148937,0.4234908626950238
tafeng,markov,split_90,4,0.09321175278622086,0.1823182139899279,0.0826088158959645,0.1927515182462879,0.07479890761758584,0.14662687842421626,0.09710149703462241,0.18523126655800642,0.04557011418955431,0.0956785797197563,0.267042987407729,0.44251108098661907
tafeng,markov,split_90,5,0.09043276885222175,0.17277020094160087,0.09074713367768802,0.2001410731170979,0.07696682233725849,0.14307679517416316,0.09700901398980855,0.17812088939299217,0.048329931482270175,0.09525117934017091,0.29135909683022143,0.45448725466303386
tafeng,markov,split_90,6,0.08662613981762918,0.16589493584856174,0.09601768592899797,0.20482697630609206,0.07704287347094343,0.14009054282856118,0.0948988636913654,0.17270928268398256,0.04959710464204031,0.09446890084538383,0.303951367781155,0.4600617769840332
tafeng,markov,split_90,7,0.08469284370283067,0.16224350603170654,0.10127021568781498,0.209982258450472,0.07793740810332546,0.1394635234576621,0.09428977424237517,0.17047212118183383,0.05112526738681139,0.09485499386897482,0.3165436387320886,0.4652287010640988
tafeng,markov,split_90,8,0.08321961003246282,0.1596774617896849,0.10505111641767753,0.2129061578494989,0.0781624743267721,0.13805847876180047,0.09347165492982598,0.16808216626725378,0.052005440071143196,0.09450479044556584,0.32566217976552325,0.4687235032422527
tafeng,markov,split_90,9,0.08263462426510625,0.15834082147983103,0.10899614388384551,0.21708628407156205,0.07893085664161079,0.13816178882661664,0.09351342175048583,0.16739928813951774,0.053088672031456306,0.09501183727415737,0.33347807207989577,0.47155805887037344
tafeng,markov,split_90,10,0.08264427351487706,0.15718437917545597,0.11330461378762142,0.22096041165587846,0.0800685316819919,0.13800503721447602,0.09409439819149684,0.16656656302835754,0.054381673409722255,0.0953791793391662,0.3417281806339557,0.47439197988853576
tafeng,markov,split_90,11,0.08249821896152769,0.156189179361463,0.11630084065273943,0.2227267863433531,0.08076811751176886,0.13779108568782614,0.09433654281967395,0.16580887657950447,0.05526637718432401,0.09553359277971034,0.34737299174989145,0.47623888764573286
tafeng,markov,split_90,12,0.08212650354421956,0.15550164913007253,0.1185222859604338,0.22495614478383552,0.08104207409887186,0.13768526180116974,0.09420753348025605,0.1652728920639225,0.05579384104017542,0.09576771464490133,0.35084672166739034,0.47733870229016806
tafeng,markov,split_90,13,0.08196506417305374,0.15535652490859556,0.12036190530048288,0.22640376150066346,0.08132395067933003,0.13775476981024645,0.09422423945750111,0.16523033693693412,0.056227972449107565,0.0958661116257454,0.3538862353452019,0.4782782608319078
tafeng,markov,split_90,14,0.08177181408835772,0.1547050245023404,0.12253727096403087,0.22836369091675954,0.08158770728575368,0.13737477193433678,0.09419249837885506,0.16455027055637705,0.05670866878016929,0.09585519521071348,0.35822839774207554,0.4795838642248605
tafeng,markov,split_90,15,0.08159399219972384,0.15430414494786598,0.12371059854804702,0.22938551871755364,0.08171723502792745,0.13730265356222165,0.09412063129481552,0.16420973421669688,0.056973801108853986,0.09597812521825806,0.3603994789405124,0.4802206054737085
tafeng,markov,split_90,16,0.08149991201445826,0.15401598256223578,0.12488806006888968,0.23034295332278276,0.08186664447217253,0.13714837946029695,0.09411184046729781,0.16390806053140633,0.057239495679114315,0.09600930962363095,0.36257056013894917,0.4808466967089051
tafeng,markov,split_90,17,0.08140253263717542,0.15392796637806927,0.12559067142311856,0.2308463739528595,0.0819478655611721,0.1371918372373894,0.09407229790884042,0.16385412579898212,0.057405568804083935,0.09610689016797454,0.3634389926183239,0.4810941605367384
tafeng,markov,split_90,18,0.08130178311750941,0.15373117984608842,0.12629600788484585,0.2312564572835673,0.08200515981585876,0.13712794182941693,0.09401934526419012,0.16366586040020883,0.05755014820619494,0.09613202372123317,0.36430742509769865,0.4813399296381439
tafeng,markov,split_90,19,0.0811557747328192,0.1536143801161822,0.12664680169464895,0.23146341046341065,0.08197119890275725,0.13711707758850364,0.09389616909024338,0.1635756246547114,0.05759528921945641,0.09614976633028596,0.36430742509769865,0.4813399296381439
tafeng,markov,split_90,20,0.08096723347084969,0.1534089475166222,0.12684256378227737,0.23153265683226334,0.08186432052923756,0.13696390064335415,0.09370684202491397,0.1633343345781364,0.05757984445681529,0.09608753492651922,0.364741641337386,0.4814621794781595
tafeng,markov,split_fixed,2,0.10457093574816731,0.23396970748617904,0.052604683671308244,0.15537651402349945,0.0599804964599226,0.14754631482614453,0.08979387955754731,0.20431240993418995,0.03240041254703535,0.08796942472237623,0.18240620957309184,0.3862622447529217
tafeng,markov,split_fixed,3,0.09644961908868764,0.19586695313205274,0.06835557568036225,0.17529013055410592,0.0678806390361683,0.14324717383207605,0.09324460154263908,0.18696563967651922,0.039473191841905765,0.09125714805071178,0.23027166882276842,0.42109748596622987
tafeng,markov,split_fixed,4,0.09062814431507833,0.17512706331529054,0.07825267272610449,0.18400541335084175,0.07150885335812729,0.13924739791610274,0.0932576882875599,0.17520149535842094,0.043439529845540316,0.09160400167453711,0.2617507546356188,0.4396824546045184
