model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score
clf,20,1,8.0,0.2599778604137971,0.3826009063125724,0.2029202788468998,0.9661713563073032
clf,20,1,9.0,0.270786637428039,0.3703220688282338,0.2205536279145953,0.9735483191063335
clf,20,1,10.0,0.2804796812087294,0.3601406892190957,0.2379151437590457,0.9791337337970282
clf,20,1,11.0,0.2891830263087303,0.35143874725759,0.2550461094732914,0.9831383707450732
clf,20,1,12.0,0.2960135783346606,0.3427556468893806,0.2710291931208657,0.9858783854989988
clf,20,1,13.0,0.3018830667710411,0.3348490559919583,0.2865131806216378,0.9878807039730214
clf,20,1,14.0,0.3063566737716113,0.3269654336600273,0.3010379697625629,0.9890399409842976
clf,20,1,15.0,0.3101828654675238,0.3197535743141181,0.3151509243571262,0.9903045631784172
clf,20,1,16.0,0.3133163319418755,0.3130703973021393,0.328688350640302,0.9914638001896934
clf,20,1,17.0,0.3160505981352324,0.3068449226038818,0.3420981670453433,0.9927284223838128
clf,20,1,18.0,0.3181083170320362,0.3008682740317822,0.354831995143717,0.9936768890294024
clf,20,1,19.0,0.3201538620938929,0.2955762122477158,0.3677386926511098,0.9947307408578354
clf,20,1,20.0,0.3217644922371901,0.290487217234099,0.3803079198636518,0.9955738223205818
clf,20,2,2.0,0.1237741534539828,0.5344751673124339,0.0706426946793155,0.7715744980626982
clf,20,2,3.0,0.1632842672448648,0.5004696489374193,0.0988497664361024,0.8534695315251849
clf,20,2,4.0,0.1941363140602458,0.4731639661852765,0.1241903861164659,0.901902078196548
clf,20,2,5.0,0.2197403512582074,0.4523247622402254,0.1480664973800435,0.9312257837266644
clf,20,2,6.0,0.2406456716922606,0.4342051191734178,0.1703537673990686,0.94945403311025
clf,20,2,7.0,0.2577603612934905,0.4184320434760729,0.1911501602898688,0.9633673828812962
clf,20,2,8.0,0.2709901316415518,0.4030767247018568,0.2100573044543516,0.9732300105671012
clf,20,2,9.0,0.2827651031159049,0.3905686526107448,0.2286420179220135,0.979306093694963
clf,20,2,10.0,0.2927107879172143,0.3793841588531619,0.2464147412723781,0.9835329341317364
clf,20,2,11.0,0.3009232450590981,0.3690019820303371,0.2633074109439274,0.986967241986615
clf,20,2,12.0,0.30802018752835,0.359720411481595,0.279720552636747,0.989256780556534
clf,20,2,13.0,0.3138576823979188,0.3509794093230162,0.2953789774702091,0.9912821415991546
