model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score,avg_training_time_seconds,avg_pred_time_seconds
top,10,2,17,0.3070456825510892,0.3002032024407881,0.33069508899225036,0.9938645150445453,0.41482138670364765,4.723566986048076e-06
top,10,2,18,0.3105440765073009,0.2957489469334638,0.3446216537289916,0.9950411833921667,0.41482138670364765,4.7409648680450495e-06
top,10,2,19,0.3132394342213072,0.2912391221951177,0.35780419715348505,0.9960497562615566,0.41482138670364765,4.739283913262734e-06
top,10,2,20,0.3155925899757007,0.286955341639341,0.3707745346285953,0.9964699949571356,0.41482138670364765,4.822995461422087e-06
top,20,0,2,0.0932745585722485,0.39629120879120877,0.05346847604959233,0.6380494505494505,0.10525290453296704,1.3245192307692307e-05
top,20,0,3,0.1299525952441343,0.3914835164835165,0.0791761192077707,0.7740384615384616,0.10525290453296704,8.753434065934066e-06
top,20,0,4,0.1577706532627276,0.3789491758241758,0.101683720401858,0.8365384615384616,0.10525290453296704,7.625686813186813e-06
top,20,0,5,0.18338260885171948,0.3725274725274726,0.12466432494097986,0.8907967032967034,0.10525290453296704,7.76510989010989e-06
top,20,0,6,0.20730354108966623,0.36893315018315015,0.14827679746485262,0.9244505494505495,0.10525290453296704,6.98076923076923e-06
top,20,0,7,0.2259988039907284,0.3618524332810046,0.16957935233755198,0.9526098901098901,0.10525290453296704,6.747939560439561e-06
top,20,0,8,0.2432305193610215,0.3563701923076923,0.19117608102472325,0.9649725274725275,0.10525290453296704,6.70054945054945e-06
top,20,0,9,0.25706896612856084,0.3498931623931624,0.2109455205563059,0.9739010989010989,0.10525290453296704,6.580357142857143e-06
top,20,0,10,0.26848321300110317,0.3433379120879121,0.22954668647217055,0.9739010989010989,0.10525290453296704,6.546016483516483e-06
top,20,0,11,0.27838475990759604,0.3367882117882118,0.24766006058947126,0.9807692307692307,0.10525290453296704,6.51098901098901e-06
top,20,0,12,0.28808899099578084,0.3321314102564102,0.2660953807765435,0.9855769230769231,0.10525290453296704,6.549450549450549e-06
top,20,0,13,0.2945734345017162,0.3254437869822485,0.2820767731708726,0.9903846153846154,0.10525290453296704,6.504807692307693e-06
top,20,0,14,0.3002478883130238,0.3195153061224489,0.29744715614072814,0.9903846153846154,0.10525290453296704,6.497252747252747e-06
top,20,0,15,0.306107490970356,0.31465201465201464,0.3135696290433908,0.9910714285714286,0.10525290453296704,6.429258241758243e-06
top,20,0,16,0.31094698168792134,0.3098385989010989,0.32906222980283995,0.9931318681318682,0.10525290453296704,6.4629120879120875e-06
top,20,0,17,0.31521767519719146,0.30526826115061406,0.34429603064593806,0.9972527472527473,0.10525290453296704,6.4670329670329664e-06
top,20,0,18,0.31880732166768205,0.3007860195360195,0.3588773986621785,0.9972527472527473,0.10525290453296704,6.4519230769230765e-06
